"id","OFF_RUSH_EPA_AWAY","OFF_PASS_EPA_AWAY","OFF_FDR_AWAY","DEF_RUSH_EPA_AWAY","DEF_PASS_EPA_AWAY","DEF_FDR_AWAY","OFF_TO_AWAY","DEF_TO_AWAY","OFF_EXP_RATE_AWAY","DEF_EXP_RATE_AWAY","PENS_AWAY","PEN_YDS_AWAY","OL_METRIC_AWAY","DL_METRIC_AWAY","OFF_RUSH_EPA_HOME","OFF_PASS_EPA_HOME","OFF_FDR_HOME","DEF_RUSH_EPA_HOME","DEF_PASS_EPA_HOME","DEF_FDR_HOME","OFF_TO_HOME","DEF_TO_HOME","OFF_EXP_RATE_HOME","DEF_EXP_RATE_HOME","PENS_HOME","PEN_YDS_HOME","OL_METRIC_HOME","DL_METRIC_HOME","DIV","PTS_DIFF"
"1",-0.259094632298706,0.231173148011424,0.238095238095238,-0.240312870197079,0.220504306315576,0.339285714285714,0,3,0.0793650793650794,0.142857142857143,9,81,0,2,-0.240312870197079,0.220504306315576,0.339285714285714,-0.259094632298706,0.231173148011424,0.238095238095238,3,0,0.142857142857143,0.0793650793650794,4,84,2,0,0,-3
"2",-0.0225336593992658,0.0981521298673679,0.271186440677966,-0.0972993595991284,-0.0851557881391931,0.305555555555556,1,2,0.101694915254237,0.111111111111111,7,40,1,1,-0.0972993595991284,-0.0851557881391931,0.305555555555556,-0.0225336593992658,0.0981521298673679,0.271186440677966,2,1,0.111111111111111,0.101694915254237,6,44,1,1,0,9
"3",0.191494621559211,0.597702210473926,0.345238095238095,-0.393455628640368,-1.0837208268104,0.0740740740740741,0,4,0.0357142857142857,0.037037037037037,4,26,1,3,-0.393455628640368,-1.0837208268104,0.0740740740740741,0.191494621559211,0.597702210473926,0.345238095238095,4,0,0.037037037037037,0.0357142857142857,4,23,3,1,1,-43
"4",0.103103475388707,0.124430402880104,0.283582089552239,-0.177418352732753,0.181975095781765,0.363636363636364,1,4,0.104477611940299,0.121212121212121,6,55,4,3,-0.177418352732753,0.181975095781765,0.363636363636364,0.103103475388707,0.124430402880104,0.283582089552239,4,1,0.121212121212121,0.104477611940299,7,47,3,4,0,4
"5",-0.111318845197267,-0.238631570062464,0.253968253968254,-0.395834469597321,0.379092791308082,0.293103448275862,3,3,0.126984126984127,0.137931034482759,13,100,5,0,-0.395834469597321,0.379092791308082,0.293103448275862,-0.111318845197267,-0.238631570062464,0.253968253968254,3,3,0.137931034482759,0.126984126984127,7,65,0,5,1,13
"6",-0.316903321538121,-0.746424231025347,0.155172413793103,-0.175569731716588,0.148244300792967,0.287878787878788,5,0,0.0689655172413793,0.0757575757575758,2,10,4,2,-0.175569731716588,0.148244300792967,0.287878787878788,-0.316903321538121,-0.746424231025347,0.155172413793103,0,5,0.0757575757575758,0.0689655172413793,6,57,2,4,0,24
"7",-0.072226250951644,-0.443256728117119,0.218181818181818,-0.147689461451358,-0.238999853371558,0.1875,3,0,0.109090909090909,0.046875,6,40,7,4,-0.147689461451358,-0.238999853371558,0.1875,-0.072226250951644,-0.443256728117119,0.218181818181818,0,3,0.046875,0.109090909090909,4,26,4,7,1,3
"8",-0.205704755460969,0.213225648688812,0.275862068965517,-0.0471746147086378,-0.0469262989458207,0.272727272727273,2,4,0.189655172413793,0.136363636363636,7,43,2,4,-0.0471746147086378,-0.0469262989458207,0.272727272727273,-0.205704755460969,0.213225648688812,0.275862068965517,4,2,0.136363636363636,0.189655172413793,6,40,4,2,1,-2
"9",-0.273438413973268,-0.0382247050401035,0.25,0.0676226912345737,-0.557550201585027,0.181818181818182,4,4,0.0714285714285714,0.0909090909090909,8,40,1,4,0.0676226912345737,-0.557550201585027,0.181818181818182,-0.273438413973268,-0.0382247050401035,0.25,4,4,0.0909090909090909,0.0714285714285714,7,54,4,1,1,-1
"10",-0.0500491157219971,-0.123147762725947,0.296875,-0.407270300194796,-0.168085157767531,0.211538461538462,2,1,0.109375,0.0769230769230769,11,123,5,6,-0.407270300194796,-0.168085157767531,0.211538461538462,-0.0500491157219971,-0.123147762725947,0.296875,1,2,0.0769230769230769,0.109375,5,34,6,5,0,-14
"11",NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0
"12",-0.565112273346718,-0.290809870894568,0.0851063829787234,-0.204690091245101,-0.624017949633154,0.211267605633803,0,5,0,0.0563380281690141,9,58,2,2,-0.204690091245101,-0.624017949633154,0.211267605633803,-0.565112273346718,-0.290809870894568,0.0851063829787234,5,0,0.0563380281690141,0,3,20,2,2,0,8
"13",0.130523068976148,0.289746807554271,0.333333333333333,-0.367558173552654,0.183092990878986,0.384615384615385,2,4,0.102564102564103,0.153846153846154,9,79,1,2,-0.367558173552654,0.183092990878986,0.384615384615385,0.130523068976148,0.289746807554271,0.333333333333333,4,2,0.153846153846154,0.102564102564103,8,61,2,1,1,5
"14",0.31278758065133,0.263235363928715,0.341463414634146,-0.0146726763119304,0.30736314729197,0.328358208955224,3,2,0.109756097560976,0.134328358208955,9,99,1,2,-0.0146726763119304,0.30736314729197,0.328358208955224,0.31278758065133,0.263235363928715,0.341463414634146,2,3,0.134328358208955,0.109756097560976,8,45,2,1,1,-8
"15",0.17102190469268,0.653170977531935,0.365384615384615,-0.109980551247863,0.187598352323415,0.323529411764706,0,1,0.0769230769230769,0.0735294117647059,8,60,0,2,-0.109980551247863,0.187598352323415,0.323529411764706,0.17102190469268,0.653170977531935,0.365384615384615,1,0,0.0735294117647059,0.0769230769230769,4,30,2,0,0,-11
"16",0.139868782966081,-0.264609023061849,0.242424242424242,-0.174037802986836,-0.178556218671607,0.186440677966102,0,3,0.0757575757575758,0.11864406779661,7,37,3,2,-0.174037802986836,-0.178556218671607,0.186440677966102,0.139868782966081,-0.264609023061849,0.242424242424242,3,0,0.11864406779661,0.0757575757575758,9,67,2,3,1,-3
"17",-0.175225533534103,-0.221401043769101,0.217391304347826,0.0690025934670226,0.114342880272983,0.294117647058824,0,1,0.0869565217391304,0.0588235294117647,9,67,2,0,0.0690025934670226,0.114342880272983,0.294117647058824,-0.175225533534103,-0.221401043769101,0.217391304347826,1,0,0.0588235294117647,0.0869565217391304,8,50,0,2,1,14
"18",0.185334571712981,0.188529550193057,0.329113924050633,-0.101224298996385,0.233120981748899,0.3125,1,1,0.0632911392405063,0.125,5,35,2,4,-0.101224298996385,0.233120981748899,0.3125,0.185334571712981,0.188529550193057,0.329113924050633,1,1,0.125,0.0632911392405063,5,37,4,2,0,-2
"19",-0.273036165525599,0.196001402844558,0.274193548387097,-0.027855670318441,-0.0822256208929435,0.24,3,1,0.145161290322581,0.08,8,70,6,3,-0.027855670318441,-0.0822256208929435,0.24,-0.273036165525599,0.196001402844558,0.274193548387097,1,3,0.08,0.145161290322581,13,84,3,6,0,-1
"20",-0.244380671971564,0.113740620089587,0.202898550724638,-0.548945097069009,-0.489732653972169,0.173076923076923,0,5,0.072463768115942,0.0576923076923077,6,47,4,3,-0.548945097069009,-0.489732653972169,0.173076923076923,-0.244380671971564,0.113740620089587,0.202898550724638,5,0,0.0576923076923077,0.072463768115942,6,40,3,4,0,-19
"21",-0.19926251080488,-0.0685767435169874,0.26027397260274,-0.127654056782053,-0.132863530553481,0.156862745098039,3,2,0.123287671232877,0.0588235294117647,5,25,1,4,-0.127654056782053,-0.132863530553481,0.156862745098039,-0.19926251080488,-0.0685767435169874,0.26027397260274,2,3,0.0588235294117647,0.123287671232877,6,52,4,1,1,8
"22",-0.333481887763695,-0.291050401246387,0.23728813559322,-0.0631798640339408,0.00661557230213623,0.262295081967213,4,1,0.0677966101694915,0.131147540983607,8,50,2,1,-0.0631798640339408,0.00661557230213623,0.262295081967213,-0.333481887763695,-0.291050401246387,0.23728813559322,1,4,0.131147540983607,0.0677966101694915,10,84,1,2,1,16
"23",-0.295047239064135,-0.547385196974898,0.140350877192982,-0.269068178925673,-0.234782525951341,0.215384615384615,4,4,0.0701754385964912,0.0615384615384615,2,15,2,0,-0.269068178925673,-0.234782525951341,0.215384615384615,-0.295047239064135,-0.547385196974898,0.140350877192982,4,4,0.0615384615384615,0.0701754385964912,9,82,0,2,0,9
"24",-0.0426025612227198,0.130320012757453,0.292307692307692,-0.612456601675755,0.114053935478723,0.275862068965517,1,3,0.138461538461538,0.241379310344828,9,78,1,6,-0.612456601675755,0.114053935478723,0.275862068965517,-0.0426025612227198,0.130320012757453,0.292307692307692,3,1,0.241379310344828,0.138461538461538,7,42,6,1,0,-5
"25",-0.131889028285514,0.210616929665336,0.295081967213115,-0.494416870244701,0.220335782301198,0.318840579710145,4,1,0.0983606557377049,0.115942028985507,7,59,0,1,-0.494416870244701,0.220335782301198,0.318840579710145,-0.131889028285514,0.210616929665336,0.295081967213115,1,4,0.115942028985507,0.0983606557377049,15,135,1,0,1,3
"26",0.0816673815226281,0.704906395207487,0.353846153846154,-0.221601159311831,-0.0664940155185878,0.321428571428571,0,3,0.138461538461538,0.125,4,25,0,2,-0.221601159311831,-0.0664940155185878,0.321428571428571,0.0816673815226281,0.704906395207487,0.353846153846154,3,0,0.125,0.138461538461538,8,106,2,0,1,-23
"27",-0.139395217801412,-0.15722691158834,0.23728813559322,-0.0968689648987493,-0.465518313871474,0.157894736842105,2,1,0.0847457627118644,0.0526315789473684,6,55,2,9,-0.0968689648987493,-0.465518313871474,0.157894736842105,-0.139395217801412,-0.15722691158834,0.23728813559322,1,2,0.0526315789473684,0.0847457627118644,3,45,9,2,0,-14
"28",-0.262573639999997,0.434322450155926,0.257575757575758,-0.143400142363548,0.0219328035454964,0.274193548387097,3,1,0.0606060606060606,0.0967741935483871,8,79,0,5,-0.143400142363548,0.0219328035454964,0.274193548387097,-0.262573639999997,0.434322450155926,0.257575757575758,1,3,0.0967741935483871,0.0606060606060606,3,28,5,0,1,1
"29",0.170053605466819,-0.217193460054398,0.25,0.00099481933108164,0.437407708096807,0.333333333333333,1,0,0.104166666666667,0.0833333333333333,2,7,7,0,0.00099481933108164,0.437407708096807,0.333333333333333,0.170053605466819,-0.217193460054398,0.25,0,1,0.0833333333333333,0.104166666666667,7,70,0,7,1,17
